group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,381,423.5,0.899645808736718
White,February,,329,292.25,1.12574850299401
White,March,,235,265.5,0.885122410546139
White,April,,15,312.75,0.0479616306954437
White,May,,12,338.25,0.0354767184035477
White,June,,27,394.5,0.0684410646387833
White,July,,23,418.75,0.0549253731343284
White,August,,289,391.25,0.738658146964856
White,September,,337,379.5,0.888010540184453
White,October,24/10/2020,183,318.25,0.575019638648861
Black,January,,385,318,1.21069182389937
Black,February,,276,187.5,1.472
Black,March,,158,216.75,0.728950403690888
Black,April,,7,264.75,0.0264400377714825
Black,May,,9,280,0.0321428571428571
Black,June,,17,276.75,0.0614272809394761
Black,July,,17,339.5,0.0500736377025037
Black,August,,304,315.75,0.962787015043547
Black,September,,273,333.5,0.818590704647676
Black,October,24/10/2020,167,234.5,0.712153518123667
Other,January,,484,407.5,1.18773006134969
Other,February,,334,267.25,1.24976613657624
Other,March,,238,253,0.940711462450593
Other,April,,21,313,0.0670926517571885
Other,May,,10,334,0.029940119760479
Other,June,,13,392.25,0.0331421287444232
Other,July,,16,409,0.039119804400978
Other,August,,245,395.75,0.619077700568541
Other,September,,324,413.25,0.784029038112523
Other,October,24/10/2020,276,285.25,0.967572304995618
