month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,6587,5749.25,1.14571465843371
02/2020,,5776,4312,1.33951762523191
03/2020,,3188,3745.75,0.851097910965761
04/2020,,618,3876,0.159442724458204
05/2020,,1211,4620.5,0.26209284709447
06/2020,,2483,6289.75,0.394769267458961
07/2020,,2252,5051,0.445852306473966
08/2020,,2386,5810.5,0.410635917735135
09/2020,,2024,5018.5,0.403307761283252
10/2020,,2169,4887.75,0.443762467392972
11/2020,,2688,4639.25,0.579403998491135
12/2020,,3094,4417.75,0.700356516326184
