group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,892,707.5,1.26077738515901
White,February,,833,633,1.31595576619273
White,March,,390,500.5,0.779220779220779
White,April,,33,591,0.0558375634517767
White,May,,102,633,0.161137440758294
White,June,,203,668.5,0.303664921465969
White,July,,229,759,0.30171277997365
White,August,,358,764.5,0.468279921517332
White,September,19/09/2020,297,567.5,0.523348017621145
Black,January,,254,238.5,1.06498951781971
Black,February,,233,194,1.20103092783505
Black,March,,92,151,0.609271523178808
Black,April,,5,197.5,0.0253164556962025
Black,May,,32,245.5,0.130346232179226
Black,June,,39,228.5,0.170678336980306
Black,July,,64,305,0.209836065573771
Black,August,,50,287.5,0.173913043478261
Black,September,19/09/2020,91,223,0.408071748878924
Latinx,January,,333,368,0.904891304347826
Latinx,February,,367,267.5,1.37196261682243
Latinx,March,,192,235.5,0.815286624203822
Latinx,April,,14,284,0.0492957746478873
Latinx,May,,97,357.5,0.271328671328671
Latinx,June,,157,331,0.474320241691843
Latinx,July,,179,368.5,0.485753052917232
Latinx,August,,182,367,0.49591280653951
Latinx,September,19/09/2020,110,211,0.52132701421801
Other,January,,1446,1197,1.20802005012531
Other,February,,1349,1056,1.27746212121212
Other,March,,639,826.5,0.773139745916516
Other,April,,22,1031,0.0213385063045587
Other,May,,124,1184.5,0.104685521317011
Other,June,,284,1253.5,0.226565616274432
Other,July,,267,1248,0.213942307692308
Other,August,,525,1294,0.405718701700155
Other,September,19/09/2020,356,974,0.365503080082136
