group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,920,665,1.38345864661654
White,February,,852,530.25,1.60678925035361
White,March,,545,476.75,1.14315679077084
White,April,,100,444.25,0.225098480585256
White,May,,152,539.25,0.281872971719981
White,June,13/06/2020,127,311.25,0.408032128514056
Black,January,,877,855.5,1.02513150204559
Black,February,,829,700.25,1.18386290610496
Black,March,,439,576.25,0.761822125813449
Black,April,,113,608,0.185855263157895
Black,May,,172,753,0.228419654714475
Black,June,13/06/2020,133,411.25,0.323404255319149
Latinx,January,,1931,1808.5,1.0677356925629
Latinx,February,,1569,1392,1.12715517241379
Latinx,March,,814,1242.25,0.655262628295432
Latinx,April,,225,1250.5,0.179928028788485
Latinx,May,,475,1540.75,0.30829141651793
Latinx,June,13/06/2020,366,860,0.425581395348837
Other,January,,2859,2342.5,1.2204909284952
Other,February,,2526,1689.5,1.49511689849068
Other,March,,1390,1450.5,0.958290244743192
Other,April,,180,1573.25,0.114412839663118
Other,May,,412,1787.5,0.230489510489511
Other,June,13/06/2020,333,1029,0.323615160349854
