group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,920,665,1.38345864661654
White,February,,852,530.25,1.60678925035361
White,March,,545,476.75,1.14315679077084
White,April,,100,444.25,0.225098480585256
White,May,,152,539.25,0.281872971719981
White,June,27/06/2020,292,667,0.437781109445277
Black,January,,877,855.5,1.02513150204559
Black,February,,829,700.25,1.18386290610496
Black,March,,439,576.25,0.761822125813449
Black,April,,113,608,0.185855263157895
Black,May,,172,753,0.228419654714475
Black,June,27/06/2020,316,951.5,0.332107199159222
Latinx,January,,1931,1808.5,1.0677356925629
Latinx,February,,1569,1392,1.12715517241379
Latinx,March,,814,1242.25,0.655262628295432
Latinx,April,,225,1250.5,0.179928028788485
Latinx,May,,475,1540.75,0.30829141651793
Latinx,June,27/06/2020,840,2020.25,0.415790124984532
Other,January,,2859,2342.5,1.2204909284952
Other,February,,2526,1689.5,1.49511689849068
Other,March,,1390,1450.5,0.958290244743192
Other,April,,180,1573.25,0.114412839663118
Other,May,,412,1787.5,0.230489510489511
Other,June,27/06/2020,835,2322,0.359603789836348
