month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_prepandemic
2020-01-01,1170.86,0.116,0.213,0.045,1156
2020-02-01,1140.675,0.116,0.213,0.045,1156
2020-03-01,1346.25,0.116,0.213,0.045,1156
2020-04-01,1695.325,0.116,0.213,0.045,1156
2020-05-01,2307.5,0.116,0.213,0.045,1156
2020-06-01,2468.54,0.116,0.213,0.045,1156
2020-07-01,2455.5,0.116,0.213,0.045,1156
2020-08-01,2527.7,0.116,0.213,0.045,1156
2020-09-01,2655,0.116,0.213,0.045,1156
2020-10-01,2628.17,0.116,0.213,0.045,1156
2020-11-01,2490,0.116,0.213,0.045,1156
2020-12-01,2533,0.116,0.213,0.045,1156
2021-01-01,2506,0.116,0.213,0.045,1156
2021-02-01,850.395,0.116,0.213,0.045,1156
2021-03-01,799.5,0.116,0.213,0.045,1156
2021-04-01,2600,0.116,0.213,0.045,1156
2021-05-01,2400,0.116,0.213,0.045,1156
2021-06-01,1991,0.116,0.213,0.045,1156
2021-07-01,1987.935,0.116,0.213,0.045,1156
2021-08-01,1849,0.116,0.213,0.045,1156
2021-09-01,1980.25,0.116,0.213,0.045,1156
2021-10-01,1989.9850000000001,0.116,0.213,0.045,1156
2021-11-01,2177.8,0.116,0.213,0.045,1156
2021-12-01,2237.5,0.116,0.213,0.045,1156
2022-01-01,2234,0.116,0.213,0.045,1156
2022-02-01,2157.4449999999997,0.116,0.213,0.045,1156
2022-03-01,2520,0.116,0.213,0.045,1156
2022-04-01,2274.495,0.116,0.213,0.045,1156
2022-05-01,2117.3050000000003,0.116,0.213,0.045,1156
2022-06-01,2095.72,0.116,0.213,0.045,1156
2022-07-01,2186.46,0.116,0.213,0.045,1156
2022-08-01,2174,0.116,0.213,0.045,1156
2022-09-01,2270.95,0.116,0.213,0.045,1156
2022-10-01,2228.685,0.116,0.213,0.045,1156
2022-11-01,2416.3599999999997,0.116,0.213,0.045,1156
2022-12-01,2500,0.116,0.213,0.045,1156
2023-01-01,2330,0.116,0.213,0.045,1156
2023-02-01,2133,0.116,0.213,0.045,1156
2023-03-01,2359.8450000000003,0.116,0.213,0.045,1156
2023-04-01,2019.7849999999999,0.116,0.213,0.045,1156
2023-05-01,2065,0.116,0.213,0.045,1156
2023-06-01,2127.2,0.116,0.213,0.045,1156
2023-07-01,2120,0.116,0.213,0.045,1156
2023-08-01,2167.6899999999996,0.116,0.213,0.045,1156
2023-09-01,2097.725,0.116,0.213,0.045,1156
2023-10-01,2053,0.116,0.213,0.045,1156
2023-11-01,2200,0.116,0.213,0.045,1156
2023-12-01,2092.58,0.116,0.213,0.045,1156
2024-01-01,2148,0.116,0.213,0.045,1156
2024-02-01,2074.5,0.116,0.213,0.045,1156
2024-03-01,2069.5,0.116,0.213,0.045,1156
2024-04-01,2050,0.116,0.213,0.045,1156
2024-05-01,1982.435,0.116,0.213,0.045,1156
2024-06-01,2021.5,0.116,0.213,0.045,1156
2024-07-01,2013.85,0.116,0.213,0.045,1156
2024-08-01,2088.6,0.116,0.213,0.045,1156
2024-09-01,2091,0.116,0.213,0.045,1156
