position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,NA,7102 KENSINGTON DR,218,0.369
2,2020-03-15,NA,6343 STOCKPORT RD,214,0.369
3,2020-03-15,NA,6017 WESTLAKE NORTH DR,210,0.369
4,2020-03-15,NA,7144 WARRIOR TRL,192,0.369
5,2020-03-15,NA,2420 CORAL BARK PL,175,0.369
6,2020-03-15,NA,4208 SHADELAND AVE,171,0.369
7,2020-03-15,NA,7204 HATTERAS LN,139,0.369
8,2020-03-15,NA,1745 CENTURY WAY,138,0.369
9,2020-03-15,NA,3915 DEER RDG,138,0.369
10,2020-03-15,NA,4133 EL LAGO CT,137,0.369
1,2021-06-27,NA,7217 KINGSFORD DR,56,0.418
2,2021-06-27,NA,7116 FOXBOROUGH DR,49,0.418
3,2021-06-27,NA,6466 WHITEHAVEN RD,28,0.418
4,2021-06-27,NA,5609 BRENDON WAY CT,28,0.418
5,2021-06-27,NA,3820 FAWN DR,26,0.418
6,2021-06-27,NA,7154 TWIN OAKS DR,25,0.418
7,2021-06-27,NA,6245 ADAMS BLVD WEST DR,23,0.418
8,2021-06-27,NA,6017 WESTLAKE NORTH DR,22,0.418
9,2021-06-27,NA,2853 CLEAR LAKE WAY,18,0.418
10,2021-06-27,NA,3066 ISLAND CLUB LN,16,0.418
