type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Zip Code,15001,White,01/2020,1,0.125,2022-03-12
Zip Code,15001,White,02/2020,0,0,2022-03-12
Zip Code,15001,White,03/2020,0,0,2022-03-12
Zip Code,15001,White,04/2020,0,0,2022-03-12
Zip Code,15001,White,05/2020,0,0,2022-03-12
Zip Code,15001,White,06/2020,0,0,2022-03-12
Zip Code,15001,White,07/2020,0,0,2022-03-12
Zip Code,15001,White,08/2020,0,0,2022-03-12
Zip Code,15001,White,09/2020,0,0,2022-03-12
Zip Code,15001,White,10/2020,0,0,2022-03-12
Zip Code,15001,White,11/2020,0,0,2022-03-12
Zip Code,15001,White,12/2020,0,0.125,2022-03-12
Zip Code,15001,White,01/2021,0,0.125,2022-03-12
Zip Code,15001,White,02/2021,0,0,2022-03-12
Zip Code,15001,White,03/2021,0,0,2022-03-12
Zip Code,15001,White,04/2021,0,0,2022-03-12
Zip Code,15001,White,05/2021,0,0,2022-03-12
Zip Code,15001,White,06/2021,0,0,2022-03-12
Zip Code,15001,White,07/2021,0,0,2022-03-12
Zip Code,15001,White,08/2021,0,0,2022-03-12
Zip Code,15001,White,09/2021,0,0,2022-03-12
Zip Code,15001,White,10/2021,0,0,2022-03-12
Zip Code,15001,White,11/2021,0,0,2022-03-12
Zip Code,15001,White,12/2021,0,0.125,2022-03-12
Zip Code,15001,White,01/2022,0,0.125,2022-03-12
Zip Code,15001,White,02/2022,1,0,2022-03-12
Zip Code,15001,White,03/2022,0,0,2022-03-12
Zip Code,15003,White,01/2020,2,0.375,2022-03-12
Zip Code,15003,White,02/2020,0,0.25,2022-03-12
Zip Code,15003,White,03/2020,1,0.375,2022-03-12
Zip Code,15003,White,04/2020,0,0.25,2022-03-12
Zip Code,15003,White,05/2020,0,0.25,2022-03-12
Zip Code,15003,White,06/2020,1,0.5,2022-03-12
Zip Code,15003,White,07/2020,0,0.5,2022-03-12
Zip Code,15003,White,08/2020,0,0.375,2022-03-12
Zip Code,15003,White,09/2020,1,0.375,2022-03-12
Zip Code,15003,White,10/2020,1,0.25,2022-03-12
Zip Code,15003,White,11/2020,0,0.125,2022-03-12
Zip Code,15003,White,12/2020,0,0.375,2022-03-12
Zip Code,15003,White,01/2021,0,0.375,2022-03-12
Zip Code,15003,White,02/2021,0,0.25,2022-03-12
Zip Code,15003,White,03/2021,0,0.375,2022-03-12
Zip Code,15003,White,04/2021,0,0.25,2022-03-12
Zip Code,15003,White,05/2021,1,0.25,2022-03-12
Zip Code,15003,White,06/2021,1,0.5,2022-03-12
Zip Code,15003,White,07/2021,1,0.5,2022-03-12
Zip Code,15003,White,08/2021,0,0.375,2022-03-12
Zip Code,15003,White,09/2021,0,0.375,2022-03-12
Zip Code,15003,White,10/2021,0,0.25,2022-03-12
Zip Code,15003,White,11/2021,1,0.125,2022-03-12
Zip Code,15003,White,12/2021,0,0.375,2022-03-12
Zip Code,15003,White,01/2022,1,0.375,2022-03-12
Zip Code,15003,White,02/2022,1,0.25,2022-03-12
Zip Code,15003,White,03/2022,0,0.125,2022-03-12
Zip Code,15005,White,01/2020,0,0,2022-03-12
Zip Code,15005,White,02/2020,0,0,2022-03-12
Zip Code,15005,White,03/2020,0,0,2022-03-12
Zip Code,15005,White,04/2020,0,0,2022-03-12
Zip Code,15005,White,05/2020,0,0,2022-03-12
Zip Code,15005,White,06/2020,0,0,2022-03-12
Zip Code,15005,White,07/2020,0,0.125,2022-03-12
Zip Code,15005,White,08/2020,0,0,2022-03-12
Zip Code,15005,White,09/2020,0,0,2022-03-12
Zip Code,15005,White,10/2020,0,0,2022-03-12
Zip Code,15005,White,11/2020,0,0,2022-03-12
Zip Code,15005,White,12/2020,0,0,2022-03-12
Zip Code,15005,White,01/2021,0,0,2022-03-12
Zip Code,15005,White,02/2021,0,0,2022-03-12
