position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2025-03-01,2026-02-28,AWE BELLA VISTA LLC,11166 OAK PARKWAY LN,271,0.274,38.773845,-90.21724
2,2025-03-01,2026-02-28,VA8 OXFORD HILLS LLC,10321 BRIAR HOLLOW DR,129,0.274,38.683575,-90.404915
3,2025-03-01,2026-02-28,MIMG CLXIX PADDOCK VILLAGE LLC -,6826 CHESAPEAKE DR,121,0.274,38.798363,-90.231389
4,2025-03-01,2026-02-28,TSK SAN LUIS LLC,1741 SAN RICARDO DR,113,0.274,38.792171,-90.218805
5,2025-03-01,2026-02-28,TIMBERLAND STL LLC,5305 FOREST CREEK DR,111,0.274,38.781085,-90.393667
6,2025-03-01,2026-02-28,PG WOODLANDS LLC -,10086 NEVILLE WALK,110,0.274,38.752348,-90.271615
7,2025-03-01,2026-02-28,"MIMG XCVIII SUGAR PINES SUB, LLC -",11031 SUGAR PINES CT,102,0.274,38.773219,-90.272201
8,2025-03-01,2026-02-28,PG WINDHAM CHASE LLC -,12451 HORIZON VILLAGE DR,101,0.274,38.801269,-90.211638
9,2025-03-01,2026-02-28,ROCK ROSE CITY VIEW SPE LLC -,110 N 17TH ST,100,0.274,38.62996,-90.204531
10,2025-03-01,2026-02-28,BENNINGTON HEIGHTS APARTMENTS,2081 CHABLIS DR,87,0.274,38.699524,-90.465927
11,2025-03-01,2026-02-28,ARCADE APT -,800 OLIVE ST,85,0.274,38.628274,-90.192916
12,2025-03-01,2026-02-28,HAVEN ST LOUIS LLC -,12384 SHORERIDGE CT,80,0.274,38.71407,-90.471137
13,2025-03-01,2026-02-28,COLLINS TERRACE APARTMENTS -,1211 N 7TH ST,75,0.274,38.636217,-90.188664
14,2025-03-01,2026-02-28,"SPANISH COVE OWNER, LLC -",1624 ROSADO DR,74,0.274,38.788694,-90.216557
15,2025-03-01,2026-02-28,STONEHAVEN APARTMENTS,327 CHAPARRALL CREEK DR,72,0.274,38.772222,-90.368341
16,2025-03-01,2026-02-28,2974 COPPERCREEK ROAD LEASING LLC -,2943 CANFIELD DR,66,0.274,38.738648,-90.273622
17,2025-03-01,2026-02-28,"POLARIS MO7, LLC",6280 KINGSFONT PL,65,0.274,38.791349,-90.24448
