type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,39061000200,Black,1,2019-12-29,0,0,2023-06-03
Census Tract,39061000200,Black,2,2020-01-05,5,0.4,2023-06-03
Census Tract,39061000200,Black,3,2020-01-12,0,2,2023-06-03
Census Tract,39061000200,Black,4,2020-01-19,11,3.6,2023-06-03
Census Tract,39061000200,Black,5,2020-01-26,0,5,2023-06-03
Census Tract,39061000200,Black,6,2020-02-02,0,1,2023-06-03
Census Tract,39061000200,Black,7,2020-02-09,1,0.2,2023-06-03
Census Tract,39061000200,Black,8,2020-02-16,0,0.2,2023-06-03
Census Tract,39061000200,Black,9,2020-02-23,2,1.8,2023-06-03
Census Tract,39061000200,Black,10,2020-03-01,8,1.8,2023-06-03
Census Tract,39061000200,Black,11,2020-03-08,0,0.8,2023-06-03
Census Tract,39061000200,Black,12,2020-03-15,0,0,2023-06-03
Census Tract,39061000200,Black,13,2020-03-22,0,2.2,2023-06-03
Census Tract,39061000200,Black,14,2020-03-29,0,1.6,2023-06-03
Census Tract,39061000200,Black,15,2020-04-05,0,1,2023-06-03
Census Tract,39061000200,Black,16,2020-04-12,0,0.4,2023-06-03
Census Tract,39061000200,Black,17,2020-04-19,0,1.8,2023-06-03
Census Tract,39061000200,Black,18,2020-04-26,2,1.4,2023-06-03
Census Tract,39061000200,Black,19,2020-05-03,0,3.6,2023-06-03
Census Tract,39061000200,Black,20,2020-05-10,0,0.8,2023-06-03
Census Tract,39061000200,Black,21,2020-05-17,5,1.6,2023-06-03
Census Tract,39061000200,Black,22,2020-05-24,0,1.4,2023-06-03
Census Tract,39061000200,Black,23,2020-05-31,0,2.8,2023-06-03
Census Tract,39061000200,Black,24,2020-06-07,0,0.4,2023-06-03
Census Tract,39061000200,Black,25,2020-06-14,0,1,2023-06-03
Census Tract,39061000200,Black,26,2020-06-21,0,1.4,2023-06-03
Census Tract,39061000200,Black,27,2020-06-28,0,3.4,2023-06-03
Census Tract,39061000200,Black,28,2020-07-05,0,0.6,2023-06-03
Census Tract,39061000200,Black,29,2020-07-12,1,0,2023-06-03
Census Tract,39061000200,Black,30,2020-07-19,2,1.2,2023-06-03
Census Tract,39061000200,Black,31,2020-07-26,0,5.8,2023-06-03
Census Tract,39061000200,Black,32,2020-08-02,0,1.4,2023-06-03
Census Tract,39061000200,Black,33,2020-08-09,3,1,2023-06-03
Census Tract,39061000200,Black,34,2020-08-16,2,1,2023-06-03
Census Tract,39061000200,Black,35,2020-08-23,0,6.6,2023-06-03
Census Tract,39061000200,Black,36,2020-08-30,2,0.4,2023-06-03
Census Tract,39061000200,Black,37,2020-09-06,0,2.4,2023-06-03
Census Tract,39061000200,Black,38,2020-09-13,0,0,2023-06-03
Census Tract,39061000200,Black,39,2020-09-20,6,0.2,2023-06-03
Census Tract,39061000200,Black,40,2020-09-27,2,2.6,2023-06-03
Census Tract,39061000200,Black,41,2020-10-04,1,2.4,2023-06-03
Census Tract,39061000200,Black,42,2020-10-11,0,0.6,2023-06-03
Census Tract,39061000200,Black,43,2020-10-18,0,0.6,2023-06-03
Census Tract,39061000200,Black,44,2020-10-25,0,2.6,2023-06-03
Census Tract,39061000200,Black,45,2020-11-01,2,2.2,2023-06-03
Census Tract,39061000200,Black,46,2020-11-08,0,0.6,2023-06-03
Census Tract,39061000200,Black,47,2020-11-15,0,1.2,2023-06-03
Census Tract,39061000200,Black,48,2020-11-22,3,0,2023-06-03
Census Tract,39061000200,Black,49,2020-11-29,0,3.2,2023-06-03
Census Tract,39061000200,Black,50,2020-12-06,0,0.6,2023-06-03
Census Tract,39061000200,Black,51,2020-12-13,0,1.2,2023-06-03
Census Tract,39061000200,Black,52,2020-12-20,1,0,2023-06-03
Census Tract,39061000200,Black,53,2020-12-27,7,2.4,2023-06-03
Census Tract,39061000200,Black,54,2021-01-03,0,0.4,2023-06-03
Census Tract,39061000200,Black,55,2021-01-10,1,2,2023-06-03
Census Tract,39061000200,Black,56,2021-01-17,0,0.6,2023-06-03
Census Tract,39061000200,Black,57,2021-01-24,0,8,2023-06-03
Census Tract,39061000200,Black,58,2021-01-31,0,0.8,2023-06-03
Census Tract,39061000200,Black,59,2021-02-07,1,0.2,2023-06-03
Census Tract,39061000200,Black,60,2021-02-14,0,0.4,2023-06-03
Census Tract,39061000200,Black,61,2021-02-21,0,1.6,2023-06-03
Census Tract,39061000200,Black,62,2021-02-28,0,1.6,2023-06-03
Census Tract,39061000200,Black,63,2021-03-07,2,1,2023-06-03
Census Tract,39061000200,Black,64,2021-03-14,0,0,2023-06-03
Census Tract,39061000200,Black,65,2021-03-21,0,2.2,2023-06-03
