group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2022,,872,724,1.20441988950276
White,02/2022,,719,617.666666666667,1.164058283864
White,03/2022,,861,764,1.12696335078534
White,04/2022,,674,632.333333333333,1.06589351607802
White,05/2022,,857,722.666666666667,1.18588560885609
White,06/2022,11/06/2022,90,196,0.459183673469388
Black,01/2022,,562,665,0.845112781954887
Black,02/2022,,589,517.333333333333,1.13853092783505
Black,03/2022,,540,636,0.849056603773585
Black,04/2022,,533,530.666666666667,1.00439698492462
Black,05/2022,,612,652.666666666667,0.937691521961185
Black,06/2022,11/06/2022,113,213.666666666667,0.528861154446178
Other,01/2022,,219,226.333333333333,0.96759941089838
Other,02/2022,,231,197.333333333333,1.17060810810811
Other,03/2022,,234,217.666666666667,1.0750382848392
Other,04/2022,,209,209,1
Other,05/2022,,245,244.666666666667,1.00136239782016
Other,06/2022,11/06/2022,21,73.3333333333333,0.286363636363636
