group,month,month_last_day,month_filings,avg_filings,month_diff
White,03/2022,,861,764,1.12696335078534
White,04/2022,,674,632.333333333333,1.06589351607802
White,05/2022,,857,722.666666666667,1.18588560885609
White,06/2022,,789,615,1.28292682926829
White,07/2022,,858,737.666666666667,1.16312697695436
White,08/2022,06/08/2022,70,130.333333333333,0.537084398976982
Black,03/2022,,540,636,0.849056603773585
Black,04/2022,,533,530.666666666667,1.00439698492462
Black,05/2022,,612,652.666666666667,0.937691521961185
Black,06/2022,,560,593.666666666667,0.94329028635598
Black,07/2022,,579,667,0.868065967016492
Black,08/2022,06/08/2022,97,134,0.723880597014925
Other,03/2022,,234,217.666666666667,1.0750382848392
Other,04/2022,,209,209,1
Other,05/2022,,245,244.666666666667,1.00136239782016
Other,06/2022,,274,208.333333333333,1.3152
Other,07/2022,,193,241.333333333333,0.799723756906078
Other,08/2022,06/08/2022,34,42,0.80952380952381
