group,month,month_last_day,month_filings,avg_filings,month_diff
White,03/2022,,45,44,1.02272727272727
White,04/2022,,62,46,1.34782608695652
White,05/2022,,54,58,0.931034482758621
White,06/2022,,44,49,0.897959183673469
White,07/2022,,66,48,1.375
White,08/2022,06/08/2022,0,8,0
Black,03/2022,,249,300,0.83
Black,04/2022,,286,304,0.94078947368421
Black,05/2022,,343,397,0.863979848866499
Black,06/2022,,266,347,0.76657060518732
Black,07/2022,,342,390,0.876923076923077
Black,08/2022,06/08/2022,0,43,0
Other,03/2022,,27,11,2.45454545454545
Other,04/2022,,21,17,1.23529411764706
Other,05/2022,,35,21,1.66666666666667
Other,06/2022,,34,34,1
Other,07/2022,,21,16,1.3125
Other,08/2022,06/08/2022,0,3,0
