group,month,month_last_day,month_filings,avg_filings,month_diff
White,05/2022,,54,58,0.931034482758621
White,06/2022,,44,49,0.897959183673469
White,07/2022,,66,48,1.375
White,08/2022,,56,76,0.736842105263158
White,09/2022,,68,67,1.01492537313433
White,10/2022,08/10/2022,0,6,0
Black,05/2022,,343,397,0.863979848866499
Black,06/2022,,266,347,0.76657060518732
Black,07/2022,,342,390,0.876923076923077
Black,08/2022,,323,390,0.828205128205128
Black,09/2022,,366,247,1.48178137651822
Black,10/2022,08/10/2022,0,81,0
Other,05/2022,,35,21,1.66666666666667
Other,06/2022,,34,34,1
Other,07/2022,,21,16,1.3125
Other,08/2022,,25,27,0.925925925925926
Other,09/2022,,20,17,1.17647058823529
Other,10/2022,08/10/2022,0,5,0
