group,month,month_last_day,month_filings,avg_filings,month_diff
White,January,,834,741.666666666667,1.12449438202247
White,February,,706,637.333333333333,1.10774058577406
White,March,,426,774,0.550387596899225
White,April,,170,654.333333333333,0.259806418746816
White,May,,173,750.333333333333,0.230564193691693
White,June,,343,635.666666666667,0.539590980597798
White,July,,406,739,0.549391069012179
White,August,,471,775,0.607741935483871
White,September,,615,859.333333333333,0.71567106283941
White,October,10/10/2020,67,194.666666666667,0.344178082191781
Black,January,,493,598.666666666667,0.823496659242762
Black,February,,453,477.666666666667,0.948360083740405
Black,March,,266,578.333333333333,0.459942363112392
Black,April,,81,470.666666666667,0.172096317280453
Black,May,,155,586.333333333333,0.26435474701535
Black,June,,239,541,0.44177449168207
Black,July,,247,605,0.408264462809917
Black,August,,340,596.666666666667,0.569832402234637
Black,September,,457,694.666666666667,0.657869481765835
Black,October,10/10/2020,93,136,0.683823529411765
Other,January,,232,275,0.843636363636364
Other,February,,216,228,0.947368421052632
Other,March,,123,265.666666666667,0.462986198243413
Other,April,,43,247,0.174089068825911
Other,May,,63,283.333333333333,0.222352941176471
Other,June,,98,240.333333333333,0.407766990291262
Other,July,,113,302,0.374172185430464
Other,August,,165,287.666666666667,0.573580533024334
Other,September,,225,315.333333333333,0.713530655391121
Other,October,10/10/2020,60,63,0.952380952380952
