type,GEOID,racial_majority,month,filings_2020,filings_avg,last_updated
Census Tract,48113000100,White,01/2020,3,3,2024-07-06
Census Tract,48113000100,White,02/2020,3,2,2024-07-06
Census Tract,48113000100,White,03/2020,5,1.66666666666667,2024-07-06
Census Tract,48113000100,White,04/2020,1,2.33333333333333,2024-07-06
Census Tract,48113000100,White,05/2020,0,1,2024-07-06
Census Tract,48113000100,White,06/2020,2,3.33333333333333,2024-07-06
Census Tract,48113000100,White,07/2020,1,3,2024-07-06
Census Tract,48113000100,White,08/2020,1,1.66666666666667,2024-07-06
Census Tract,48113000100,White,09/2020,1,0.666666666666667,2024-07-06
Census Tract,48113000100,White,10/2020,1,1,2024-07-06
Census Tract,48113000100,White,11/2020,2,2,2024-07-06
Census Tract,48113000100,White,12/2020,1,1.66666666666667,2024-07-06
Census Tract,48113000100,White,01/2021,1,3,2024-07-06
Census Tract,48113000100,White,02/2021,1,2,2024-07-06
Census Tract,48113000100,White,03/2021,1,1.66666666666667,2024-07-06
Census Tract,48113000100,White,04/2021,0,2.33333333333333,2024-07-06
Census Tract,48113000100,White,05/2021,6,1,2024-07-06
Census Tract,48113000100,White,06/2021,3,3.33333333333333,2024-07-06
Census Tract,48113000100,White,07/2021,4,3,2024-07-06
Census Tract,48113000100,White,08/2021,2,1.66666666666667,2024-07-06
Census Tract,48113000100,White,09/2021,1,0.666666666666667,2024-07-06
Census Tract,48113000100,White,10/2021,7,1,2024-07-06
Census Tract,48113000100,White,11/2021,1,2,2024-07-06
Census Tract,48113000100,White,12/2021,0,1.66666666666667,2024-07-06
Census Tract,48113000100,White,01/2022,6,3,2024-07-06
Census Tract,48113000100,White,02/2022,5,2,2024-07-06
Census Tract,48113000100,White,03/2022,6,1.66666666666667,2024-07-06
Census Tract,48113000100,White,04/2022,3,2.33333333333333,2024-07-06
Census Tract,48113000100,White,05/2022,6,1,2024-07-06
Census Tract,48113000100,White,06/2022,1,3.33333333333333,2024-07-06
Census Tract,48113000100,White,07/2022,1,3,2024-07-06
Census Tract,48113000100,White,08/2022,4,1.66666666666667,2024-07-06
Census Tract,48113000100,White,09/2022,6,0.666666666666667,2024-07-06
Census Tract,48113000100,White,10/2022,2,1,2024-07-06
Census Tract,48113000100,White,11/2022,1,2,2024-07-06
Census Tract,48113000100,White,12/2022,0,1.66666666666667,2024-07-06
Census Tract,48113000100,White,01/2023,2,3,2024-07-06
Census Tract,48113000100,White,02/2023,0,2,2024-07-06
Census Tract,48113000100,White,03/2023,0,1.66666666666667,2024-07-06
Census Tract,48113000100,White,04/2023,0,2.33333333333333,2024-07-06
Census Tract,48113000100,White,05/2023,1,1,2024-07-06
Census Tract,48113000100,White,06/2023,0,3.33333333333333,2024-07-06
Census Tract,48113000100,White,07/2023,8,3,2024-07-06
Census Tract,48113000100,White,08/2023,0,1.66666666666667,2024-07-06
Census Tract,48113000100,White,09/2023,0,0.666666666666667,2024-07-06
Census Tract,48113000100,White,10/2023,0,1,2024-07-06
Census Tract,48113000100,White,11/2023,0,2,2024-07-06
Census Tract,48113000100,White,12/2023,0,1.66666666666667,2024-07-06
Census Tract,48113000100,White,01/2024,1,3,2024-07-06
Census Tract,48113000100,White,02/2024,0,2,2024-07-06
Census Tract,48113000100,White,03/2024,2,1.66666666666667,2024-07-06
Census Tract,48113000100,White,04/2024,0,2.33333333333333,2024-07-06
Census Tract,48113000100,White,05/2024,0,1,2024-07-06
Census Tract,48113000100,White,06/2024,1,3.33333333333333,2024-07-06
Census Tract,48113000100,White,07/2024,0,0.333333333333333,2024-07-06
Census Tract,48113000201,White,01/2020,1,0.666666666666667,2024-07-06
Census Tract,48113000201,White,02/2020,0,0,2024-07-06
Census Tract,48113000201,White,03/2020,0,0.333333333333333,2024-07-06
Census Tract,48113000201,White,04/2020,0,0,2024-07-06
