month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,1490,1598.75,0.931978107896794
01/2021,23/01/2021,311,1063.5,0.292430653502586
02/2020,,1433,1387.75,1.03260673752477
03/2020,,652,1226.5,0.531593966571545
04/2020,,7,1318.5,0.00530906332954115
05/2020,,11,1465,0.00750853242320819
06/2020,,34,1511.75,0.0224904911526377
07/2020,,515,1507.5,0.341625207296849
08/2020,,514,1657.75,0.310058814658423
09/2020,,716,1527,0.468893254747872
10/2020,,722,1606,0.449564134495641
11/2020,,647,1370.25,0.472176610107645
12/2020,,574,1391.75,0.412430393389617
