type,GEOID,week,week_date,filings_2020,filings_avg,last_updated
Census Tract,09001010101,1,2019-12-29,0,0,2021-08-07
Census Tract,09001010101,2,2020-01-05,0,0,2021-08-07
Census Tract,09001010101,3,2020-01-12,0,0,2021-08-07
Census Tract,09001010101,4,2020-01-19,0,0,2021-08-07
Census Tract,09001010101,5,2020-01-26,0,0,2021-08-07
Census Tract,09001010101,6,2020-02-02,0,0,2021-08-07
Census Tract,09001010101,7,2020-02-09,0,0,2021-08-07
Census Tract,09001010101,8,2020-02-16,0,0.666666666666667,2021-08-07
Census Tract,09001010101,9,2020-02-23,0,0,2021-08-07
Census Tract,09001010101,10,2020-03-01,0,0.333333333333333,2021-08-07
Census Tract,09001010101,11,2020-03-08,0,0,2021-08-07
Census Tract,09001010101,12,2020-03-15,0,0,2021-08-07
Census Tract,09001010101,13,2020-03-22,0,0,2021-08-07
Census Tract,09001010101,14,2020-03-29,0,0.333333333333333,2021-08-07
Census Tract,09001010101,15,2020-04-05,0,0,2021-08-07
Census Tract,09001010101,16,2020-04-12,0,0,2021-08-07
Census Tract,09001010101,17,2020-04-19,0,0,2021-08-07
Census Tract,09001010101,18,2020-04-26,0,0,2021-08-07
Census Tract,09001010101,19,2020-05-03,0,0,2021-08-07
Census Tract,09001010101,20,2020-05-10,0,0,2021-08-07
Census Tract,09001010101,21,2020-05-17,0,0,2021-08-07
Census Tract,09001010101,22,2020-05-24,0,0,2021-08-07
Census Tract,09001010101,23,2020-05-31,0,0,2021-08-07
Census Tract,09001010101,24,2020-06-07,0,0,2021-08-07
Census Tract,09001010101,25,2020-06-14,0,0.333333333333333,2021-08-07
Census Tract,09001010101,26,2020-06-21,0,0,2021-08-07
Census Tract,09001010101,27,2020-06-28,0,0,2021-08-07
Census Tract,09001010101,28,2020-07-05,0,0.333333333333333,2021-08-07
Census Tract,09001010101,29,2020-07-12,0,0,2021-08-07
Census Tract,09001010101,30,2020-07-19,0,0,2021-08-07
Census Tract,09001010101,31,2020-07-26,0,0,2021-08-07
Census Tract,09001010101,32,2020-08-02,0,0,2021-08-07
Census Tract,09001010101,33,2020-08-09,0,0,2021-08-07
Census Tract,09001010101,34,2020-08-16,0,0,2021-08-07
Census Tract,09001010101,35,2020-08-23,1,0,2021-08-07
Census Tract,09001010101,36,2020-08-30,0,0,2021-08-07
Census Tract,09001010101,37,2020-09-06,0,0,2021-08-07
Census Tract,09001010101,38,2020-09-13,0,0.333333333333333,2021-08-07
Census Tract,09001010101,39,2020-09-20,0,0.333333333333333,2021-08-07
Census Tract,09001010101,40,2020-09-27,0,0.666666666666667,2021-08-07
Census Tract,09001010101,41,2020-10-04,0,0,2021-08-07
Census Tract,09001010101,42,2020-10-11,0,0,2021-08-07
Census Tract,09001010101,43,2020-10-18,0,0,2021-08-07
Census Tract,09001010101,44,2020-10-25,0,0,2021-08-07
Census Tract,09001010101,45,2020-11-01,0,0,2021-08-07
Census Tract,09001010101,46,2020-11-08,0,0,2021-08-07
Census Tract,09001010101,47,2020-11-15,0,0,2021-08-07
Census Tract,09001010101,48,2020-11-22,0,0.333333333333333,2021-08-07
Census Tract,09001010101,49,2020-11-29,0,0,2021-08-07
Census Tract,09001010101,50,2020-12-06,0,0,2021-08-07
Census Tract,09001010101,51,2020-12-13,0,0,2021-08-07
Census Tract,09001010101,52,2020-12-20,0,0,2021-08-07
Census Tract,09001010101,53,2020-12-27,0,0,2021-08-07
Census Tract,09001010101,54,2021-01-03,0,0,2021-08-07
Census Tract,09001010101,55,2021-01-10,0,0,2021-08-07
Census Tract,09001010101,56,2021-01-17,0,0,2021-08-07
Census Tract,09001010101,57,2021-01-24,0,0,2021-08-07
Census Tract,09001010101,58,2021-01-31,1,0,2021-08-07
Census Tract,09001010101,59,2021-02-07,0,0,2021-08-07
Census Tract,09001010101,60,2021-02-14,0,0.666666666666667,2021-08-07
Census Tract,09001010101,61,2021-02-21,0,0,2021-08-07
Census Tract,09001010101,62,2021-02-28,0,0.333333333333333,2021-08-07
Census Tract,09001010101,63,2021-03-07,0,0,2021-08-07
Census Tract,09001010101,64,2021-03-14,0,0,2021-08-07
Census Tract,09001010101,65,2021-03-21,0,0,2021-08-07
Census Tract,09001010101,66,2021-03-28,0,0.333333333333333,2021-08-07
Census Tract,09001010101,67,2021-04-04,0,0,2021-08-07
Census Tract,09001010101,68,2021-04-11,0,0,2021-08-07
Census Tract,09001010101,69,2021-04-18,0,0,2021-08-07
Census Tract,09001010101,70,2021-04-25,0,0,2021-08-07
Census Tract,09001010101,71,2021-05-02,0,0,2021-08-07
Census Tract,09001010101,72,2021-05-09,0,0,2021-08-07
Census Tract,09001010101,73,2021-05-16,0,0,2021-08-07
Census Tract,09001010101,74,2021-05-23,0,0,2021-08-07
Census Tract,09001010101,75,2021-05-30,0,0,2021-08-07
Census Tract,09001010101,76,2021-06-06,0,0,2021-08-07
Census Tract,09001010101,77,2021-06-13,0,0.333333333333333,2021-08-07
Census Tract,09001010101,78,2021-06-20,0,0,2021-08-07
Census Tract,09001010101,79,2021-06-27,1,0,2021-08-07
Census Tract,09001010101,80,2021-07-04,0,0.333333333333333,2021-08-07
Census Tract,09001010101,81,2021-07-11,0,0,2021-08-07
Census Tract,09001010101,82,2021-07-18,0,0,2021-08-07
Census Tract,09001010101,83,2021-07-25,0,0,2021-08-07
Census Tract,09001010101,84,2021-08-01,1,0,2021-08-07
Census Tract,09001010102,1,2019-12-29,0,0,2021-08-07
Census Tract,09001010102,2,2020-01-05,0,0,2021-08-07
Census Tract,09001010102,3,2020-01-12,0,0,2021-08-07
Census Tract,09001010102,4,2020-01-19,0,0,2021-08-07
Census Tract,09001010102,5,2020-01-26,0,0,2021-08-07
Census Tract,09001010102,6,2020-02-02,0,0,2021-08-07
Census Tract,09001010102,7,2020-02-09,0,0,2021-08-07
Census Tract,09001010102,8,2020-02-16,0,0,2021-08-07
Census Tract,09001010102,9,2020-02-23,0,0,2021-08-07
Census Tract,09001010102,10,2020-03-01,0,0,2021-08-07
Census Tract,09001010102,11,2020-03-08,0,0,2021-08-07
Census Tract,09001010102,12,2020-03-15,0,0,2021-08-07
Census Tract,09001010102,13,2020-03-22,0,0,2021-08-07
Census Tract,09001010102,14,2020-03-29,0,0,2021-08-07
Census Tract,09001010102,15,2020-04-05,0,0,2021-08-07
Census Tract,09001010102,16,2020-04-12,0,0,2021-08-07
Census Tract,09001010102,17,2020-04-19,0,0.333333333333333,2021-08-07
Census Tract,09001010102,18,2020-04-26,0,0,2021-08-07
Census Tract,09001010102,19,2020-05-03,0,0,2021-08-07
Census Tract,09001010102,20,2020-05-10,0,0.333333333333333,2021-08-07
Census Tract,09001010102,21,2020-05-17,0,0,2021-08-07
Census Tract,09001010102,22,2020-05-24,0,0,2021-08-07
Census Tract,09001010102,23,2020-05-31,0,0,2021-08-07
Census Tract,09001010102,24,2020-06-07,0,0,2021-08-07
Census Tract,09001010102,25,2020-06-14,0,0,2021-08-07
Census Tract,09001010102,26,2020-06-21,0,0,2021-08-07
Census Tract,09001010102,27,2020-06-28,0,0,2021-08-07
