position,time_period,end_date,xplaintiff,xstreet_clean,filings,top100,lat,lon
1,2023-03-01,2024-02-29,CINCINNATI OHIO 101 LLC,2958 HIGHFOREST LN,285,0.255,39.179239,-84.56014
2,2023-03-01,2024-02-29,FOUR TOWERS APARTMENTS LLC,2731 E TOWER DR,106,0.255,39.129304,-84.593853
3,2023-03-01,2024-02-29,CINCINNATI ROSELAWN LLC,6134 JOYCE LN,90,0.255,39.186083000000004,-84.458179
4,2023-03-01,2024-02-29,LUMA PROPERTY MANAGEMENT LLC,209 DEAN DR,88,0.255,39.280471,-84.481601
5,2023-03-01,2024-02-29,PARKTON APARTMENTS OF CINTI,2372 WALDEN GLEN CIR,63,0.255,39.27771,-84.567236
6,2023-03-01,2024-02-29,CLEARPOINTE WOODS LLC,1828 SUNSET AVE,63,0.255,39.123344,-84.581561
7,2023-03-01,2024-02-29,APEX APTS OF CINCINNATI LLC,5321 EASTKNOLL CT,62,0.255,39.188486,-84.573292
8,2023-03-01,2024-02-29,PARKTON APARTMENTS OF CINTI,2325 WALDEN GLEN CIR,58,0.255,39.277382,-84.565777
9,2023-03-01,2024-02-29,NEW MILLS RUN II LLC,11755 NORBOURNE DR,54,0.255,39.293069,-84.538212
10,2023-03-01,2024-02-29,BROOKSIDE TERRACE MHP LLC,2807 LOOKOVER DR,53,0.255,39.234563,-84.577796
11,2023-03-01,2024-02-29,KIRBY AVENUE CONQUERORS LLC,5469 KIRBY AVE,53,0.255,39.191107,-84.567546
12,2023-03-01,2024-02-29,GLENWOOD HOUSING PARTNERS LLC,1343 SPRING PARK WALK,52,0.255,39.261387,-84.472389
13,2023-03-01,2024-02-29,LAFEUILLE APARTMENTS LLC,2686 LAFEUILLE CIR,52,0.255,39.132704,-84.588891
14,2023-03-01,2024-02-29,PARKTOWN COOPERATIVE HOMES,1528 DUDLEY WALK,51,0.255,39.112083,-84.530003
15,2023-03-01,2024-02-29,MALLARD LAKES APARTMENTS LLC,11967 EIDER DR,51,0.255,39.29719,-84.489174
16,2023-03-01,2024-02-29,WESTBROOK VILLAGE MHP LLC,5820 RAINBOW HILL DR,50,0.255,39.206894,-84.735319
17,2023-03-01,2024-02-29,WOODMERE II LLC,9332 ROUND TOP RD,49,0.255,39.240662,-84.590973
18,2023-03-01,2024-02-29,CINCINNATI WILLIAMSTOWN LLC,5479 GLENGATE LN,49,0.255,39.173447,-84.435104
19,2023-03-01,2024-02-29,UPTOWN COMMUNITY PARTNERS,400 W 9TH ST,46,0.255,39.104565,-84.520871
20,2023-03-01,2024-02-29,WHISPERING PINES OWNER LLC,6252 CORBLY RD,45,0.255,39.094329,-84.385043
21,2023-03-01,2024-02-29,CLIFTON COLONY HOLDINGS LLC,720 CLIFTON COLONY DR,43,0.255,39.140793,-84.53013
22,2023-03-01,2024-02-29,NORTHGATE MEADOWS LLC,10156 ARBORWOOD DR,42,0.255,39.253789,-84.589032
23,2023-03-01,2024-02-29,BRIXWORTH LLC,5537 OLD BLUE ROCK RD,41,0.255,39.231492,-84.626648
24,2023-03-01,2024-02-29,CLIFTON COLONY HOLDINGS LLC,605 LOWELL AVE,39,0.255,39.140959,-84.529515
25,2023-03-01,2024-02-29,WESTBROOK CINCY LLC,3235 WESTBROOK DR,37,0.255,39.138582,-84.610719
26,2023-03-01,2024-02-29,BH NEW ARTS LP,877 EZZARD CHARLES DR,34,0.255,39.108745,-84.530474
27,2023-03-01,2024-02-29,CMHA,1999 SUTTER AVE,34,0.255,39.140708,-84.558103
28,2023-03-01,2024-02-29,FATH MONTANA VALLEY LLC,1606 VIENNA WOODS DR,34,0.255,39.152261,-84.587715
29,2023-03-01,2024-02-29,CLIFTON COLONY HOLDINGS LLC,725 CLIFTON COLONY DR,34,0.255,39.140405,-84.530471
30,2023-03-01,2024-02-29,CLIFTON COLONY HOLDINGS LLC,601 LOWELL AVE,33,0.255,39.140664,-84.528524
31,2023-03-01,2024-02-29,RK CINCY OHIO LLC,1938 KENTUCKY AVE,32,0.255,39.168838,-84.550415
32,2023-03-01,2024-02-29,CLIFTON COLONY HOLDINGS LLC,615 LOWELL AVE,32,0.255,39.14039,-84.528761
33,2023-03-01,2024-02-29,MIAMIVIEW APARTMENTS LLC,8175 W MILL ST,31,0.255,39.216627,-84.712238
34,2023-03-01,2024-02-29,CINCINNATI PORTFOLIO RLTY LLC,3171 FERNCREST CT,31,0.255,39.145659,-84.583209
35,2023-03-01,2024-02-29,CITY WEST APARTMENTS,1096 LINN ST,30,0.255,39.107025,-84.52771
36,2023-03-01,2024-02-29,FAY LTD PART,2396 NOTTINGHAM RD,30,0.255,39.157457,-84.560489
37,2023-03-01,2024-02-29,MAYRIDGE CINCY LLC,3213 MAYRIDGE CT,30,0.255,39.143836,-84.608866
