group,month,month_last_day,month_filings,avg_filings,month_diff,xfiledate
White,06/2022,,213,427,0.498829039812646,2022-06-01
White,07/2022,,259,410,0.631707317073171,2022-07-01
White,08/2022,,325,342,0.950292397660819,2022-08-01
White,09/2022,,262,447,0.586129753914989,2022-09-01
White,10/2022,,316,394,0.802030456852792,2022-10-01
White,11/2022,05/11/2022,39,9,4.33333333333333,2022-11-01
Black,06/2022,,283,727,0.389270976616231,2022-06-01
Black,07/2022,,573,707,0.810466760961811,2022-07-01
Black,08/2022,,697,690,1.01014492753623,2022-08-01
Black,09/2022,,494,711,0.69479606188467,2022-09-01
Black,10/2022,,680,640,1.0625,2022-10-01
Black,11/2022,05/11/2022,112,36,3.11111111111111,2022-11-01
Other,06/2022,,318,723,0.439834024896266,2022-06-01
Other,07/2022,,444,730,0.608219178082192,2022-07-01
Other,08/2022,,525,580,0.905172413793103,2022-08-01
Other,09/2022,,638,731,0.872777017783858,2022-09-01
Other,10/2022,,543,649,0.836671802773498,2022-10-01
Other,11/2022,05/11/2022,185,10,18.5,2022-11-01
