type,GEOID,racial_majority,week,week_date,filings_2020,filings_avg,last_updated
Zip Code,10001,White,1,2019-12-29,2,2.33333333333333,2022-02-05
Zip Code,10001,White,2,2020-01-05,7,12,2022-02-05
Zip Code,10001,White,3,2020-01-12,7,16.6666666666667,2022-02-05
Zip Code,10001,White,4,2020-01-19,9,15.6666666666667,2022-02-05
Zip Code,10001,White,5,2020-01-26,26,9.33333333333333,2022-02-05
Zip Code,10001,White,6,2020-02-02,7,9.66666666666667,2022-02-05
Zip Code,10001,White,7,2020-02-09,5,12,2022-02-05
Zip Code,10001,White,8,2020-02-16,8,17,2022-02-05
Zip Code,10001,White,9,2020-02-23,3,9.66666666666667,2022-02-05
Zip Code,10001,White,10,2020-03-01,7,8,2022-02-05
Zip Code,10001,White,11,2020-03-08,12,17.6666666666667,2022-02-05
Zip Code,10001,White,12,2020-03-15,1,10.6666666666667,2022-02-05
Zip Code,10001,White,13,2020-03-22,0,4,2022-02-05
Zip Code,10001,White,14,2020-03-29,0,15.6666666666667,2022-02-05
Zip Code,10001,White,15,2020-04-05,0,8,2022-02-05
Zip Code,10001,White,16,2020-04-12,0,15,2022-02-05
Zip Code,10001,White,17,2020-04-19,0,3,2022-02-05
Zip Code,10001,White,18,2020-04-26,0,10.3333333333333,2022-02-05
Zip Code,10001,White,19,2020-05-03,0,13.6666666666667,2022-02-05
Zip Code,10001,White,20,2020-05-10,0,6.33333333333333,2022-02-05
Zip Code,10001,White,21,2020-05-17,0,6.33333333333333,2022-02-05
Zip Code,10001,White,22,2020-05-24,0,12,2022-02-05
Zip Code,10001,White,23,2020-05-31,0,12.3333333333333,2022-02-05
Zip Code,10001,White,24,2020-06-07,0,7,2022-02-05
Zip Code,10001,White,25,2020-06-14,0,18.3333333333333,2022-02-05
Zip Code,10001,White,26,2020-06-21,2,16.6666666666667,2022-02-05
Zip Code,10001,White,27,2020-06-28,0,3.66666666666667,2022-02-05
Zip Code,10001,White,28,2020-07-05,0,14,2022-02-05
Zip Code,10001,White,29,2020-07-12,1,19.6666666666667,2022-02-05
Zip Code,10001,White,30,2020-07-19,2,23,2022-02-05
Zip Code,10001,White,31,2020-07-26,1,7.66666666666667,2022-02-05
Zip Code,10001,White,32,2020-08-02,3,21.6666666666667,2022-02-05
Zip Code,10001,White,33,2020-08-09,25,11.6666666666667,2022-02-05
Zip Code,10001,White,34,2020-08-16,7,11.6666666666667,2022-02-05
Zip Code,10001,White,35,2020-08-23,3,10,2022-02-05
Zip Code,10001,White,36,2020-08-30,2,7,2022-02-05
Zip Code,10001,White,37,2020-09-06,0,9,2022-02-05
Zip Code,10001,White,38,2020-09-13,10,23.6666666666667,2022-02-05
Zip Code,10001,White,39,2020-09-20,4,5.66666666666667,2022-02-05
Zip Code,10001,White,40,2020-09-27,9,6,2022-02-05
Zip Code,10001,White,41,2020-10-04,15,10.3333333333333,2022-02-05
Zip Code,10001,White,42,2020-10-11,12,18,2022-02-05
Zip Code,10001,White,43,2020-10-18,6,16.6666666666667,2022-02-05
Zip Code,10001,White,44,2020-10-25,7,5.33333333333333,2022-02-05
Zip Code,10001,White,45,2020-11-01,18,20.6666666666667,2022-02-05
Zip Code,10001,White,46,2020-11-08,1,10,2022-02-05
Zip Code,10001,White,47,2020-11-15,7,9,2022-02-05
Zip Code,10001,White,48,2020-11-22,0,3,2022-02-05
Zip Code,10001,White,49,2020-11-29,1,9.33333333333333,2022-02-05
Zip Code,10001,White,50,2020-12-06,6,12.6666666666667,2022-02-05
Zip Code,10001,White,51,2020-12-13,4,13.6666666666667,2022-02-05
Zip Code,10001,White,52,2020-12-20,2,6,2022-02-05
Zip Code,10001,White,53,2020-12-27,0,10.6666666666667,2022-02-05
Zip Code,10001,White,54,2021-01-03,0,7.66666666666667,2022-02-05
Zip Code,10001,White,55,2021-01-10,2,21,2022-02-05
Zip Code,10001,White,56,2021-01-17,0,15.3333333333333,2022-02-05
