position,time_period,xplaintiff,xstreet_clean,filings,top100
1,2020-03-15,"TIMBERLAND STL LLC , PLAINTIFF",5314 KNOLL CREEK DR,162,0.286
2,2020-03-15,"MIMG CXXV 756 OP, LLC , PLAINTIFF",11142 OAK PARKWAY LN,118,0.286
3,2020-03-15,"MILLS CITYVIEW LLC , PLAINTIFF",110 N 17TH ST,105,0.286
4,2020-03-15,"SANSONE GROUP, LLC AS AGENT FOR SPANISH COVE TOWNHOMES , PLAINTIFF",11889 IGUANA TER,103,0.286
5,2020-03-15,"ARIA MISSOURI MANAGEMENT LLC , PLAINTIFF",7838 RIO SILVA PL,97,0.286
6,2020-03-15,"LUCAS HUNT VILLAGE ASSOCIATES, L.P. , PLAINTIFF",7318 BURRWOOD DR,85,0.286
7,2020-03-15,"POLARIS MO7 LLC , PLAINTIFF",11823 KINGSFONT PL,61,0.286
8,2020-03-15,"MILLS CITYVIEW LLC , PLAINTIFF",111 N 15TH ST,59,0.286
9,2020-03-15,"CROSSING AT NORTHPOINTE , PLAINTIFF",14338 SUMMERFIELD LN,56,0.286
10,2020-03-15,"MILLS WEST POINTE INVESTOR 1 LLC , PLAINTIFF",12581 RENAULT CT,46,0.286
1,2021-07-04,"AWE BELLA VISTA LLC , PLAINTIFF",11140 ESTRADA DR,21,0.368
2,2021-07-04,"ARIA MISSOURI MANAGEMENT LLC , PLAINTIFF",7847 TENNESSEE PL,19,0.368
3,2021-07-04,"CROSSING AT NORTHPOINTE , PLAINTIFF",14390 SPRINGTIME LN,18,0.368
4,2021-07-04,"MILLS CITYSIDE LLC , PLAINTIFF",1600 PINE ST,17,0.368
5,2021-07-04,"TIMBERLAND STL LLC , PLAINTIFF",5361 KNOLL CREEK DR,14,0.368
6,2021-07-04,"PLEASANT VIEW GARDENS, LLC , PLAINTIFF",2915 CADDIEFIELD RD,11,0.368
7,2021-07-04,"MILLS CITYSIDE LLC , PLAINTIFF",1500 OLIVE ST,10,0.368
8,2021-07-04,"PMR COMPANIES LLC , PLAINTIFF",4655 GRINSTEAD CT,10,0.368
9,2021-07-04,"POLARIS MO7 LLC , PLAINTIFF",11823 KINGSFONT PL,9,0.368
10,2021-07-04,"PLEASANT VIEW GARDENS, LLC , PLAINTIFF",9407 STONEFIELD RD,9,0.368
