group,month,month_last_day,month_filings,avg_filings,month_diff
White,02/2022,,332,375.75,0.883566200931471
White,03/2022,,318,394.5,0.806083650190114
White,04/2022,,369,413,0.893462469733656
White,05/2022,,306,487.25,0.628014366341714
White,06/2022,,374,501,0.746506986027944
White,07/2022,16/07/2022,138,230.5,0.598698481561822
Black,02/2022,,505,524.5,0.962821734985701
Black,03/2022,,627,528,1.1875
Black,04/2022,,535,639.75,0.836264165689723
Black,05/2022,,569,694,0.819884726224784
Black,06/2022,,569,802.5,0.709034267912773
Black,07/2022,16/07/2022,261,397,0.657430730478589
Other,02/2022,,92,92.75,0.991913746630728
Other,03/2022,,156,86.75,1.79827089337176
Other,04/2022,,128,112.5,1.13777777777778
Other,05/2022,,106,109,0.972477064220184
Other,06/2022,,170,125.5,1.35458167330677
Other,07/2022,16/07/2022,89,57.25,1.55458515283843
