month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_prepandemic
2020-01-01,1950,0.036,0.046,0.235,1945
2020-02-01,1942,0.036,0.046,0.235,1945
2020-03-01,2049.125,0.036,0.046,0.235,1945
2020-04-01,NA,0.036,0.046,0.235,1945
2020-05-01,NA,NA,NA,NA,1945
2020-06-01,NA,0.036,0.046,0.235,1945
2020-07-01,3975,0.036,0.046,0.235,1945
2020-08-01,3270.62,0.036,0.046,0.235,1945
2020-09-01,3598.165,0.036,0.046,0.235,1945
2020-10-01,3395.6,0.036,0.046,0.235,1945
2020-11-01,3370,0.036,0.046,0.235,1945
2020-12-01,4019.35,0.036,0.046,0.235,1945
2021-01-01,4359.4400000000005,0.036,0.046,0.235,1945
2021-02-01,4100.965,0.036,0.046,0.235,1945
2021-03-01,4504.45,0.036,0.046,0.235,1945
2021-04-01,3774,0.036,0.046,0.235,1945
2021-05-01,5072.99,0.036,0.046,0.235,1945
2021-06-01,5593.25,0.036,0.046,0.235,1945
2021-07-01,5280,0.036,0.046,0.235,1945
2021-08-01,5250.59,0.036,0.046,0.235,1945
2021-09-01,5999.43,0.036,0.046,0.235,1945
2021-10-01,4300,0.036,0.046,0.235,1945
2021-11-01,5180.305,0.036,0.046,0.235,1945
2021-12-01,4824.7,0.036,0.046,0.235,1945
2022-01-01,4715.965,0.036,0.046,0.235,1945
2022-02-01,6128.38,0.036,0.046,0.235,1945
2022-03-01,5334.08,0.036,0.046,0.235,1945
2022-04-01,5429.66,0.036,0.046,0.235,1945
2022-05-01,5477.97,0.036,0.046,0.235,1945
2022-06-01,5421.3,0.036,0.046,0.235,1945
2022-07-01,5231.94,0.036,0.046,0.235,1945
2022-08-01,5142.085,0.036,0.046,0.235,1945
2022-09-01,4947.5,0.036,0.046,0.235,1945
2022-10-01,4629.22,0.036,0.046,0.235,1945
2022-11-01,4728,0.036,0.046,0.235,1945
2022-12-01,4607.34,0.036,0.046,0.235,1945
2023-01-01,4690.16,0.036,0.046,0.235,1945
2023-02-01,4522,0.036,0.046,0.235,1945
2023-03-01,4199.205,0.036,0.046,0.235,1945
2023-04-01,4324.15,0.036,0.046,0.235,1945
2023-05-01,3780.085,0.036,0.046,0.235,1945
2023-06-01,4125.71,0.036,0.046,0.235,1945
2023-07-01,4105.9,0.036,0.046,0.235,1945
2023-08-01,3896.955,0.036,0.046,0.235,1945
