group,month,month_last_day,month_filings,avg_filings,month_diff,xfiledate
White,02/2022,,183,144.666666666667,1.26497695852535,2022-02-01
White,03/2022,,233,132.5,1.75849056603774,2022-03-01
White,04/2022,,231,138.5,1.66787003610108,2022-04-01
White,05/2022,,192,153.333333333333,1.25217391304348,2022-05-01
White,06/2022,,177,156.833333333333,1.12858660998937,2022-06-01
White,07/2022,16/07/2022,73,87.8333333333334,0.83111954459203,2022-07-01
Latinx,02/2022,,236,249.5,0.945891783567134,2022-02-01
Latinx,03/2022,,343,204.5,1.67726161369193,2022-03-01
Latinx,04/2022,,329,237.166666666667,1.38721011946592,2022-04-01
Latinx,05/2022,,286,260.833333333333,1.0964856230032,2022-05-01
Latinx,06/2022,,264,296.166666666667,0.891389983117614,2022-06-01
Latinx,07/2022,16/07/2022,100,155.5,0.643086816720257,2022-07-01
Other,02/2022,,313,303.666666666667,1.03073545554336,2022-02-01
Other,03/2022,,477,259,1.84169884169884,2022-03-01
Other,04/2022,,433,282.5,1.53274336283186,2022-04-01
Other,05/2022,,310,318.333333333333,0.973821989528796,2022-05-01
Other,06/2022,,295,340.333333333333,0.866797257590597,2022-06-01
Other,07/2022,16/07/2022,129,175,0.737142857142857,2022-07-01
