group,month,month_last_day,month_filings,avg_filings,month_diff,xfiledate
White,03/2022,,233,132.5,1.75849056603774,2022-03-01
White,04/2022,,231,138.5,1.66787003610108,2022-04-01
White,05/2022,,192,153.333333333333,1.25217391304348,2022-05-01
White,06/2022,,177,156.833333333333,1.12858660998937,2022-06-01
White,07/2022,,166,158,1.05063291139241,2022-07-01
White,08/2022,06/08/2022,35,14,2.5,2022-08-01
Latinx,03/2022,,343,204.5,1.67726161369193,2022-03-01
Latinx,04/2022,,329,237.166666666667,1.38721011946592,2022-04-01
Latinx,05/2022,,286,260.833333333333,1.0964856230032,2022-05-01
Latinx,06/2022,,264,296.166666666667,0.891389983117614,2022-06-01
Latinx,07/2022,,246,303.666666666667,0.810098792535675,2022-07-01
Latinx,08/2022,06/08/2022,50,17.6666666666667,2.83018867924528,2022-08-01
Other,03/2022,,477,259,1.84169884169884,2022-03-01
Other,04/2022,,433,282.5,1.53274336283186,2022-04-01
Other,05/2022,,310,318.333333333333,0.973821989528796,2022-05-01
Other,06/2022,,295,340.333333333333,0.866797257590597,2022-06-01
Other,07/2022,,364,362,1.00552486187845,2022-07-01
Other,08/2022,06/08/2022,42,26.3333333333333,1.59493670886076,2022-08-01
