month,month_last_day,month_filings,avg_filings,percentage_diff
01/2020,,311,329.666666666667,0.943377148634985
01/2021,,127,329.666666666667,0.385237613751264
01/2022,29/01/2022,234,297,0.787878787878788
02/2020,,259,312.666666666667,0.828358208955224
02/2021,,92,312.666666666667,0.294243070362473
03/2020,,286,305.666666666667,0.935659760087241
03/2021,,186,305.666666666667,0.608505997818975
04/2020,,27,307.666666666667,0.0877573131094258
04/2021,,158,307.666666666667,0.513542795232936
05/2020,,6,331.666666666667,0.0180904522613065
05/2021,,120,331.666666666667,0.361809045226131
06/2020,,5,341.333333333333,0.0146484375
06/2021,,151,341.333333333333,0.4423828125
07/2020,,28,376,0.074468085106383
07/2021,,91,376,0.242021276595745
08/2020,,28,358,0.0782122905027933
08/2021,,127,358,0.354748603351955
09/2020,,56,331.333333333333,0.169014084507042
09/2021,,224,331.333333333333,0.676056338028169
10/2020,,79,368.666666666667,0.214285714285714
10/2021,,211,368.666666666667,0.572332730560579
11/2020,,104,313,0.332268370607029
11/2021,,211,313,0.674121405750799
12/2020,,102,328,0.310975609756098
12/2021,,209,328,0.63719512195122
