month_date,median_claim,sub1000,sub_med_rent,over_six_months_rent,median_claim_prepandemic
2020-01-01,1119.365,0.164,0.238,0.046,1097.3600000000001
2020-02-01,1070.5,0.164,0.238,0.046,1097.3600000000001
2020-03-01,1090.5,0.164,0.238,0.046,1097.3600000000001
2020-04-01,947,0.164,0.238,0.046,1097.3600000000001
2020-05-01,1550,0.164,0.238,0.046,1097.3600000000001
2020-06-01,1710,0.164,0.238,0.046,1097.3600000000001
2020-07-01,1600,0.164,0.238,0.046,1097.3600000000001
2020-08-01,1598,0.164,0.238,0.046,1097.3600000000001
2020-09-01,1900,0.164,0.238,0.046,1097.3600000000001
2020-10-01,1790,0.164,0.238,0.046,1097.3600000000001
2020-11-01,2018.56,0.164,0.238,0.046,1097.3600000000001
2020-12-01,2023.95,0.164,0.238,0.046,1097.3600000000001
2021-01-01,2078.51,0.164,0.238,0.046,1097.3600000000001
2021-02-01,2317,0.164,0.238,0.046,1097.3600000000001
2021-03-01,2417,0.164,0.238,0.046,1097.3600000000001
2021-04-01,2550,0.164,0.238,0.046,1097.3600000000001
2021-05-01,2197.065,0.164,0.238,0.046,1097.3600000000001
2021-06-01,2000,0.164,0.238,0.046,1097.3600000000001
2021-07-01,1964.92,0.164,0.238,0.046,1097.3600000000001
2021-08-01,1850,0.164,0.238,0.046,1097.3600000000001
2021-09-01,1910,0.164,0.238,0.046,1097.3600000000001
2021-10-01,1894,0.164,0.238,0.046,1097.3600000000001
2021-11-01,1950,0.164,0.238,0.046,1097.3600000000001
2021-12-01,1996.5,0.164,0.238,0.046,1097.3600000000001
2022-01-01,1982,0.164,0.238,0.046,1097.3600000000001
2022-02-01,2060,0.164,0.238,0.046,1097.3600000000001
2022-03-01,2154,0.164,0.238,0.046,1097.3600000000001
2022-04-01,1910,0.164,0.238,0.046,1097.3600000000001
2022-05-01,1927,0.164,0.238,0.046,1097.3600000000001
2022-06-01,1890.075,0.164,0.238,0.046,1097.3600000000001
2022-07-01,1881,0.164,0.238,0.046,1097.3600000000001
2022-08-01,1797.74,0.164,0.238,0.046,1097.3600000000001
2022-09-01,1869,0.164,0.238,0.046,1097.3600000000001
2022-10-01,1890,0.164,0.238,0.046,1097.3600000000001
2022-11-01,1877.845,0.164,0.238,0.046,1097.3600000000001
2022-12-01,1797,0.164,0.238,0.046,1097.3600000000001
2023-01-01,1869.75,0.164,0.238,0.046,1097.3600000000001
2023-02-01,1785.5549999999998,0.164,0.238,0.046,1097.3600000000001
2023-03-01,1751,0.164,0.238,0.046,1097.3600000000001
2023-04-01,1661,0.164,0.238,0.046,1097.3600000000001
