group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2022,,871,865.5,1.00635470826112
White,02/2022,,925,769.5,1.20207927225471
White,03/2022,,876,619,1.41518578352181
White,04/2022,23/04/2022,569,643,0.884914463452566
White,11/2021,,694,817.25,0.849189354542674
White,12/2021,,591,830.75,0.711405356605477
Black,01/2022,,295,324.5,0.909090909090909
Black,02/2022,,256,265,0.966037735849057
Black,03/2022,,236,212,1.11320754716981
Black,04/2022,23/04/2022,186,258,0.72093023255814
Black,11/2021,,140,287.5,0.486956521739131
Black,12/2021,,134,291,0.460481099656357
Latinx,01/2022,,306,396,0.772727272727273
Latinx,02/2022,,348,297.25,1.17073170731707
Latinx,03/2022,,370,262.5,1.40952380952381
Latinx,04/2022,23/04/2022,179,256.75,0.697176241480039
Latinx,11/2021,,218,345.25,0.631426502534395
Latinx,12/2021,,303,371.25,0.816161616161616
Other,01/2022,,1547,1659.25,0.932348952840139
Other,02/2022,,1568,1456.75,1.07636862879698
Other,03/2022,,1624,1143.5,1.42020113686052
Other,04/2022,23/04/2022,1019,1186.75,0.858647566884348
Other,11/2021,,1192,1674.25,0.711960579363894
Other,12/2021,,999,1619.5,0.616857054646496
