group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,401,338.5,1.18463810930576
White,01/2021,,117,336.5,0.347696879643388
White,02/2020,,350,301.25,1.16182572614108
White,02/2021,27/02/2021,102,299.5,0.340567612687813
White,03/2020,,141,339.25,0.415622697126013
White,04/2020,,0,274,0
White,05/2020,,0,290.75,0
White,06/2020,,0,328.5,0
White,07/2020,,30,356,0.0842696629213483
White,08/2020,,20,340.5,0.0587371512481645
White,09/2020,,170,320,0.53125
White,10/2020,,217,344.75,0.629441624365482
White,11/2020,,117,321.25,0.36420233463035
White,12/2020,,126,330.25,0.381529144587434
Black,01/2020,,1119,1010.75,1.10709868909226
Black,01/2021,,269,981.25,0.274140127388535
Black,02/2020,,900,921.75,0.97640358014646
Black,02/2021,27/02/2021,366,909.75,0.402308326463314
Black,03/2020,,476,906,0.525386313465784
Black,04/2020,,0,801,0
Black,05/2020,,0,913.25,0
Black,06/2020,,0,1043.5,0
Black,07/2020,,104,1069.5,0.0972417017297803
Black,08/2020,,93,1148.25,0.0809928151534944
Black,09/2020,,336,1079.5,0.311255210745716
Black,10/2020,,349,1124.75,0.310291175816848
Black,11/2020,,310,930.75,0.333064732742412
Black,12/2020,,252,906.5,0.277992277992278
Latinx,01/2020,,117,111.5,1.04932735426009
Latinx,01/2021,,48,108.5,0.442396313364055
Latinx,02/2020,,124,109,1.13761467889908
Latinx,02/2021,27/02/2021,40,107.5,0.372093023255814
Latinx,03/2020,,37,90.25,0.409972299168975
Latinx,04/2020,,0,92,0
Latinx,05/2020,,0,97.5,0
Latinx,06/2020,,0,119,0
Latinx,07/2020,,13,118.25,0.109936575052854
Latinx,08/2020,,21,124.75,0.168336673346693
Latinx,09/2020,,59,117.25,0.50319829424307
Latinx,10/2020,,65,122.5,0.530612244897959
Latinx,11/2020,,33,98,0.336734693877551
Latinx,12/2020,,24,104.25,0.23021582733813
Other,01/2020,,364,366.75,0.992501704158146
Other,01/2021,,122,357.75,0.341020265548567
Other,02/2020,,334,333.75,1.00074906367041
Other,02/2021,27/02/2021,147,331.5,0.443438914027149
Other,03/2020,,158,322.25,0.490302560124127
Other,04/2020,,0,262.5,0
Other,05/2020,,0,316,0
Other,06/2020,,0,341.25,0
Other,07/2020,,51,364.25,0.140013726835964
Other,08/2020,,40,391.5,0.102171136653895
Other,09/2020,,131,318,0.411949685534591
Other,10/2020,,157,370.5,0.423751686909582
Other,11/2020,,121,322.25,0.375484871993794
Other,12/2020,,107,331.25,0.323018867924528
