group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2020,,398,338.5,1.17577548005908
White,01/2021,,117,336.5,0.347696879643388
White,02/2020,,349,301.25,1.15850622406639
White,02/2021,06/02/2021,27,80.75,0.334365325077399
White,03/2020,,142,339.25,0.418570375829035
White,04/2020,,0,274,0
White,05/2020,,0,290.75,0
White,06/2020,,0,328.5,0
White,07/2020,,30,356,0.0842696629213483
White,08/2020,,20,340.5,0.0587371512481645
White,09/2020,,170,320,0.53125
White,10/2020,,219,344.75,0.635242929659173
White,11/2020,,117,321.25,0.36420233463035
White,12/2020,,125,330.25,0.378501135503407
Black,01/2020,,1119,1010.75,1.10709868909226
Black,01/2021,,269,981.25,0.274140127388535
Black,02/2020,,902,921.75,0.978573365880119
Black,02/2021,06/02/2021,61,225.25,0.270810210876804
Black,03/2020,,476,906,0.525386313465784
Black,04/2020,,0,801,0
Black,05/2020,,0,913.25,0
Black,06/2020,,0,1043.5,0
Black,07/2020,,104,1069.5,0.0972417017297803
Black,08/2020,,93,1148.25,0.0809928151534944
Black,09/2020,,338,1079.5,0.313107920333488
Black,10/2020,,349,1124.75,0.310291175816848
Black,11/2020,,310,930.75,0.333064732742412
Black,12/2020,,252,906.5,0.277992277992278
Latinx,01/2020,,117,111.5,1.04932735426009
Latinx,01/2021,,48,108.5,0.442396313364055
Latinx,02/2020,,124,109,1.13761467889908
Latinx,02/2021,06/02/2021,5,24.25,0.206185567010309
Latinx,03/2020,,37,90.25,0.409972299168975
Latinx,04/2020,,0,92,0
Latinx,05/2020,,0,97.5,0
Latinx,06/2020,,0,119,0
Latinx,07/2020,,13,118.25,0.109936575052854
Latinx,08/2020,,21,124.75,0.168336673346693
Latinx,09/2020,,58,117.25,0.494669509594883
Latinx,10/2020,,64,122.5,0.522448979591837
Latinx,11/2020,,32,98,0.326530612244898
Latinx,12/2020,,24,104.25,0.23021582733813
Other,01/2020,,367,366.75,1.00068166325835
Other,01/2021,,122,357.75,0.341020265548567
Other,02/2020,,333,333.75,0.997752808988764
Other,02/2021,06/02/2021,17,85.75,0.198250728862974
Other,03/2020,,157,322.25,0.487199379363848
Other,04/2020,,0,262.5,0
Other,05/2020,,0,316,0
Other,06/2020,,0,341.25,0
Other,07/2020,,51,364.25,0.140013726835964
Other,08/2020,,40,391.5,0.102171136653895
Other,09/2020,,132,318,0.415094339622642
Other,10/2020,,157,370.5,0.423751686909582
Other,11/2020,,123,322.25,0.381691233514352
Other,12/2020,,108,331.25,0.326037735849057
