group,month,month_last_day,month_filings,avg_filings,month_diff
White,01/2022,,909,815.5,1.11465358675659
White,02/2022,26/02/2022,536,563.75,0.950776053215078
White,09/2021,,930,973.5,0.955315870570108
White,10/2021,,918,964.75,0.951541850220264
White,11/2021,,762,839.75,0.907412920512057
White,12/2021,,855,789.25,1.08330693696547
Black,01/2022,,632,798.25,0.791731913560915
Black,02/2022,26/02/2022,425,598.75,0.709812108559499
Black,09/2021,,643,994.25,0.646718632134775
Black,10/2021,,758,944.25,0.802753508075192
Black,11/2021,,749,847.25,0.884036588964296
Black,12/2021,,667,802.25,0.831411654721097
Latinx,01/2022,,13,18.5,0.702702702702703
Latinx,02/2022,26/02/2022,6,16.5,0.363636363636364
Latinx,09/2021,,16,21.25,0.752941176470588
Latinx,10/2021,,29,20.75,1.39759036144578
Latinx,11/2021,,8,17.5,0.457142857142857
Latinx,12/2021,,16,17.75,0.901408450704225
Other,01/2022,,547,540.5,1.01202590194265
Other,02/2022,26/02/2022,275,377.75,0.727994705493051
Other,09/2021,,492,612,0.803921568627451
Other,10/2021,,498,633,0.786729857819905
Other,11/2021,,476,578.75,0.822462203023758
Other,12/2021,,452,519.25,0.87048627828599
